2026-06-04 11:22:45,142 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=chrome-browser host=DESKTOP-SU06TL9 record_number=100095202
2026-06-04 11:23:23,136 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=chrome-browser host=DESKTOP-SU06TL9 record_number=100095203
2026-06-04 11:23:55,914 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=chrome-browser host=DESKTOP-SU06TL9 record_number=100095204
2026-06-04 11:23:55,926 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=chrome-browser host=DESKTOP-SU06TL9 record_number=100095205
2026-06-04 11:24:20,704 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=76670
2026-06-04 11:24:20,766 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=76671
2026-06-04 11:24:20,824 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=76672
2026-06-04 11:24:20,900 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=76673
2026-06-04 11:27:00,195 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=chrome-browser host=DESKTOP-SU06TL9 record_number=100095206
2026-06-04 11:28:41,365 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124887
2026-06-04 11:28:41,383 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124888
2026-06-04 11:33:01,042 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-04 11:33:03,032 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-04 11:33:04,773 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-04 11:33:06,713 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-04 11:33:08,479 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-04 11:33:10,558 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-04 11:33:12,674 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-04 11:33:14,497 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-04 11:33:16,673 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
